Frequence;Amplitude
0.0;1.493
0.5;3.928
1.0;1.868
1.5;2.29
2.0;2.77
2.5;6.393
3.0;2.393
3.5;5.484
4.0;3.936
4.5;4.108
5.0;3.762
5.5;3.453
6.0;4.641
6.5;3.338
7.0;5.247
7.5;6.18
8.0;0.872
8.5;5.826
9.0;5.804
9.5;1.909
10.0;4.721
10.5;4.371
11.0;4.121
11.5;3.421
12.0;9.268
12.5;4.903
13.0;4.833
13.5;2.515
14.0;1.792
14.5;4.364
15.0;5.035
15.5;5.611
16.0;8.613
16.5;5.936
17.0;2.726
17.5;1.674
18.0;2.87
18.5;3.704
19.0;6.917
19.5;3.127
20.0;2.989
20.5;2.711
21.0;5.145
21.5;1.296
22.0;5.538
22.5;1.588
23.0;0.245
23.5;4.478
24.0;0.592
24.5;3.209
25.0;3.507
25.5;5.087
26.0;3.677
26.5;3.47
27.0;3.321
27.5;5.252
28.0;3.081
28.5;1.295
29.0;2.556
29.5;1.543
30.0;0.932
30.5;2.751
31.0;2.07
31.5;1.835
32.0;0.931
32.5;0.908
33.0;2.6
33.5;2.172
34.0;0.987
34.5;1.425
35.0;1.291
35.5;1.479
36.0;1.746
36.5;1.573
37.0;1.055
37.5;2.048
38.0;1.796
38.5;4.135
39.0;0.926
39.5;2.96
40.0;4.118
40.5;1.969
41.0;5.116
41.5;2.119
42.0;2.502
42.5;2.527
43.0;1.622
43.5;2.425
44.0;2.231
44.5;0.624
45.0;3.517
45.5;2.689
46.0;2.475
46.5;1.879
47.0;1.276
47.5;2.095
48.0;1.296
48.5;3.289
49.0;3.184
49.5;0.787
50.0;1.704
50.5;1.936
51.0;2.307
51.5;1.291
52.0;3.391
52.5;1.872
53.0;3.22
53.5;2.206
54.0;1.458
54.5;1.226
55.0;1.143
55.5;1.364
56.0;0.764
56.5;3.363
57.0;2.004
57.5;3.225
58.0;1.858
58.5;0.955
59.0;3.018
59.5;3.058
60.0;3.535
60.5;0.789
61.0;2.328
61.5;2.042
62.0;0.395
62.5;1.909
63.0;1.074
63.5;0.713
64.0;2.838
64.5;2.366
65.0;2.404
65.5;2.479
66.0;0.705
66.5;4.566
67.0;3.243
67.5;2.109
68.0;1.961
68.5;1.792
69.0;2.518
69.5;1.998
70.0;2.702
70.5;4.902
71.0;2.402
71.5;3.884
72.0;4.917
72.5;3.581
73.0;4.159
73.5;0.516
74.0;2.605
74.5;1.375
75.0;0.75
75.5;2.168
76.0;3.149
76.5;1.345
77.0;1.936
77.5;1.852
78.0;3.09
78.5;2.352
79.0;0.537
79.5;2.22
80.0;3.309
80.5;6.662
81.0;4.462
81.5;4.24
82.0;4.559
82.5;0.687
83.0;2.69
83.5;1.488
84.0;2.34
84.5;6.804
85.0;2.496
85.5;2.459
86.0;4.926
86.5;5.082
87.0;6.95
87.5;7.671
88.0;5.211
88.5;2.377
89.0;0.654
89.5;3.58
90.0;4.735
90.5;4.865
91.0;8.598
91.5;12.891
92.0;9.704
92.5;4.387
93.0;9.173
93.5;16.316
94.0;9.251
94.5;6.267
95.0;31.618
95.5;30.507
96.0;21.724
96.5;35.15
97.0;42.21
97.5;36.072
98.0;27.313
98.5;16.056
99.0;35.175
99.5;0.623
100.0;12.325
100.5;28.184
101.0;27.87
101.5;10.97
102.0;12.718
102.5;25.474
103.0;24.564
103.5;7.198
104.0;17.827
104.5;33.52
105.0;8.421
105.5;14.939
106.0;25.76
106.5;29.334
107.0;21.695
107.5;13.273
108.0;27.354
108.5;35.18
109.0;58.969
109.5;116.513
110.0;109.048
110.5;96.304
111.0;49.009
111.5;41.894
112.0;5.412
112.5;11.417
113.0;35.969
113.5;19.483
114.0;16.132
114.5;6.086
115.0;8.124
115.5;14.044
116.0;0.458
116.5;13.711
117.0;4.485
117.5;5.94
118.0;34.668
118.5;29.787
119.0;11.648
119.5;42.597
120.0;28.486
120.5;22.133
121.0;60.253
121.5;39.344
122.0;63.522
122.5;164.671
123.0;243.5
123.5;250.313
