Frequence;Amplitude
0.0;3.559
0.5;1.624
1.0;2.494
1.5;1.182
2.0;0.653
2.5;2.539
3.0;2.203
3.5;1.859
4.0;2.407
4.5;1.496
5.0;0.887
5.5;2.311
6.0;2.324
6.5;1.989
7.0;0.496
7.5;0.881
8.0;1.678
8.5;0.543
9.0;2.375
9.5;2.898
10.0;2.108
10.5;3.006
11.0;1.426
11.5;2.39
12.0;0.876
12.5;1.948
13.0;1.972
13.5;1.268
14.0;1.678
14.5;0.728
15.0;1.077
15.5;0.751
16.0;1.978
16.5;1.523
17.0;2.394
17.5;2.55
18.0;2.894
18.5;2.047
19.0;2.427
19.5;2.035
20.0;1.519
20.5;0.773
21.0;2.805
21.5;1.918
22.0;3.913
22.5;3.486
23.0;0.977
23.5;1.44
24.0;2.54
24.5;2.887
25.0;3.533
25.5;4.117
26.0;2.835
26.5;2.561
27.0;3.272
27.5;5.636
28.0;1.62
28.5;2.492
29.0;2.271
29.5;4.389
30.0;0.356
30.5;4.297
31.0;6.618
31.5;2.941
32.0;6.927
32.5;4.304
33.0;20.311
33.5;5.548
34.0;18.618
34.5;23.825
35.0;19.99
35.5;15.685
36.0;30.155
36.5;51.805
37.0;3.71
37.5;62.01
38.0;17.031
38.5;51.436
39.0;10.747
39.5;111.163
40.0;111.082
40.5;9.819
41.0;130.288
41.5;45.38
42.0;148.151
42.5;51.764
43.0;274.236
43.5;129.834
44.0;46.834
44.5;186.231
45.0;228.973
45.5;263.863
46.0;178.199
46.5;453.723
47.0;59.453
47.5;100.854
48.0;260.402
48.5;510.019
49.0;335.748
49.5;308.374
50.0;443.515
50.5;188.022
51.0;193.123
51.5;322.494
52.0;541.172
52.5;289.839
53.0;164.224
53.5;268.394
54.0;301.24
54.5;234.42
55.0;267.986
55.5;343.011
56.0;220.675
56.5;53.032
57.0;191.827
57.5;216.392
58.0;251.018
58.5;242.641
59.0;165.281
59.5;177.746
60.0;90.687
60.5;215.258
61.0;167.099
61.5;318.313
62.0;127.52
62.5;89.787
63.0;78.537
63.5;200.469
64.0;196.442
64.5;156.992
65.0;288.999
65.5;72.878
66.0;79.888
66.5;79.819
67.0;246.288
67.5;176.25
68.0;82.253
68.5;175.78
69.0;76.591
69.5;77.216
70.0;42.983
70.5;235.649
71.0;99.418
71.5;106.409
72.0;95.83
72.5;151.255
73.0;71.285
73.5;88.785
74.0;270.272
74.5;38.458
75.0;22.754
75.5;42.854
76.0;175.392
76.5;118.403
77.0;93.011
77.5;179.355
78.0;37.521
78.5;30.903
79.0;102.113
79.5;170.894
80.0;74.479
80.5;125.587
81.0;95.584
81.5;124.397
82.0;81.918
82.5;116.086
83.0;191.218
83.5;69.304
84.0;67.214
84.5;15.231
85.0;118.064
85.5;150.116
86.0;145.186
86.5;136.917
87.0;41.185
87.5;57.659
88.0;125.586
88.5;132.389
89.0;132.34
89.5;107.842
90.0;81.427
90.5;88.357
91.0;90.095
91.5;124.322
92.0;108.691
92.5;129.509
93.0;64.566
93.5;31.551
94.0;65.701
94.5;121.354
95.0;119.23
95.5;88.918
96.0;75.087
96.5;59.034
97.0;63.601
97.5;104.66
98.0;124.619
98.5;154.08
99.0;48.528
99.5;26.051
100.0;43.211
100.5;53.898
101.0;73.605
101.5;156.89
102.0;95.814
102.5;44.216
103.0;30.399
103.5;68.005
104.0;108.732
104.5;8.23
105.0;52.021
105.5;44.267
106.0;47.601
106.5;53.856
107.0;17.367
107.5;53.757
108.0;75.544
108.5;45.972
109.0;89.206
109.5;12.07
110.0;71.336
110.5;73.122
111.0;30.57
111.5;43.477
112.0;64.362
112.5;38.967
113.0;43.206
113.5;19.114
114.0;2.47
114.5;44.187
115.0;37.919
115.5;73.184
116.0;10.451
116.5;36.364
117.0;36.167
117.5;29.648
118.0;47.489
118.5;96.806
119.0;20.483
119.5;51.7
120.0;40.427
120.5;66.356
121.0;35.123
121.5;33.84
122.0;35.285
122.5;155.754
123.0;178.356
123.5;272.519
124.0;276.496
124.5;595.599
125.0;389.325
125.5;253.228
126.0;196.153
126.5;192.83
127.0;138.412
127.5;112.548
128.0;118.433
128.5;123.183
129.0;40.138
129.5;74.541
130.0;13.672
130.5;72.947
131.0;82.441
131.5;6.189
132.0;88.365
132.5;51.647
133.0;82.381
133.5;78.75
134.0;120.092
134.5;55.106
135.0;123.154
135.5;132.729
136.0;182.591
136.5;214.441
137.0;170.431
137.5;222.431
138.0;128.523
138.5;123.459
139.0;144.805
139.5;65.639
140.0;70.171
140.5;49.902
141.0;111.884
141.5;73.271
142.0;69.263
142.5;54.81
143.0;96.966
143.5;169.685
144.0;116.4
144.5;91.849
145.0;68.171
145.5;80.564
146.0;52.383
146.5;57.568
147.0;102.163
147.5;65.985
148.0;72.086
148.5;74.035
149.0;24.319
149.5;36.151
150.0;60.008
150.5;43.571
151.0;61.273
151.5;10.93
152.0;60.956
152.5;89.03
153.0;128.41
153.5;119.351
154.0;112.587
154.5;57.769
155.0;74.36
155.5;94.999
156.0;82.915
156.5;34.924
157.0;70.053
157.5;26.451
158.0;29.057
158.5;58.922
159.0;26.01
159.5;76.28
160.0;59.405
