Frequence;Amplitude
0.0;0.517
0.5;1.104
1.0;1.994
1.5;1.633
2.0;1.118
2.5;0.864
3.0;0.792
3.5;1.074
4.0;1.755
4.5;1.286
5.0;1.003
5.5;0.411
6.0;0.848
6.5;0.503
7.0;2.725
7.5;0.661
8.0;0.819
8.5;0.887
9.0;0.704
9.5;0.868
10.0;0.692
10.5;0.479
11.0;0.602
11.5;0.252
12.0;1.037
12.5;1.104
13.0;0.625
13.5;0.064
14.0;1.39
14.5;0.75
15.0;0.072
15.5;0.853
16.0;0.233
16.5;0.701
17.0;0.563
17.5;0.318
18.0;0.91
18.5;1.017
19.0;0.542
19.5;0.752
20.0;0.962
20.5;1.146
21.0;0.923
21.5;0.776
22.0;1.184
22.5;0.571
23.0;0.251
23.5;1.18
24.0;0.638
24.5;0.45
25.0;1.677
25.5;1.432
26.0;0.735
26.5;0.938
27.0;1.415
27.5;1.25
28.0;0.784
28.5;1.221
29.0;0.371
29.5;0.885
30.0;0.031
30.5;0.702
31.0;0.347
31.5;1.144
32.0;0.077
32.5;0.615
33.0;0.353
33.5;0.888
34.0;0.826
34.5;0.58
35.0;0.276
35.5;0.68
36.0;0.661
36.5;0.831
37.0;0.837
37.5;0.308
38.0;1.055
38.5;0.303
39.0;0.529
39.5;0.558
40.0;1.04
40.5;0.948
41.0;0.73
41.5;0.853
42.0;0.515
42.5;0.58
43.0;0.729
43.5;0.732
44.0;0.752
44.5;1.35
45.0;0.912
45.5;0.098
46.0;0.622
46.5;0.796
47.0;0.914
47.5;0.291
48.0;0.675
48.5;0.232
49.0;0.361
49.5;0.934
50.0;0.422
50.5;0.475
51.0;0.593
51.5;0.686
52.0;0.385
52.5;0.543
53.0;0.979
53.5;1.113
54.0;0.336
54.5;0.383
55.0;0.174
55.5;0.493
56.0;0.801
56.5;0.475
57.0;0.597
57.5;0.892
58.0;0.44
58.5;1.099
59.0;1.294
59.5;0.844
60.0;1.197
60.5;0.8
61.0;1.661
61.5;1.304
62.0;0.713
62.5;0.208
63.0;0.24
63.5;0.267
64.0;0.613
64.5;0.345
65.0;0.442
65.5;0.099
66.0;1.313
66.5;0.499
67.0;0.233
67.5;0.467
68.0;0.479
68.5;0.311
69.0;0.851
69.5;0.355
70.0;1.101
70.5;0.951
71.0;0.692
71.5;0.285
72.0;0.669
72.5;0.78
73.0;0.416
73.5;0.578
74.0;0.819
74.5;1.01
75.0;0.514
75.5;0.529
76.0;0.475
76.5;0.973
77.0;1.071
77.5;0.238
78.0;0.535
78.5;0.441
79.0;1.01
79.5;0.197
80.0;0.557
80.5;0.775
81.0;0.471
81.5;0.276
82.0;0.832
82.5;0.852
83.0;0.346
83.5;0.32
84.0;0.336
84.5;1.173
85.0;0.947
85.5;0.752
86.0;0.494
86.5;0.249
87.0;0.622
87.5;0.377
88.0;0.426
88.5;0.741
89.0;0.718
89.5;0.348
90.0;0.723
90.5;0.524
91.0;0.519
91.5;0.51
92.0;0.309
92.5;0.284
93.0;0.781
93.5;0.759
94.0;0.915
94.5;0.411
95.0;0.622
95.5;0.305
96.0;0.41
96.5;0.437
97.0;0.541
97.5;1.205
98.0;0.873
98.5;0.439
99.0;0.708
99.5;0.398
100.0;0.992
100.5;0.408
101.0;0.686
101.5;0.725
102.0;0.68
102.5;0.862
103.0;0.313
103.5;0.756
104.0;0.341
104.5;0.975
105.0;0.554
105.5;0.029
106.0;1.248
106.5;0.874
107.0;1.091
107.5;0.705
108.0;0.541
108.5;0.396
109.0;0.652
109.5;0.442
110.0;0.125
110.5;0.445
111.0;0.256
111.5;0.724
112.0;0.461
112.5;0.83
113.0;0.573
113.5;0.104
114.0;0.38
114.5;0.709
115.0;0.562
115.5;0.594
116.0;0.531
116.5;1.046
117.0;0.458
117.5;0.99
118.0;0.2
118.5;0.51
119.0;0.271
119.5;0.704
120.0;0.625
120.5;0.625
121.0;0.319
121.5;0.138
122.0;0.463
122.5;0.8
123.0;0.45
123.5;0.357
124.0;0.198
124.5;0.439
125.0;0.292
125.5;1.541
126.0;0.944
126.5;1.078
127.0;1.29
127.5;1.309
128.0;0.811
128.5;0.817
129.0;1.052
129.5;0.223
130.0;0.81
130.5;0.785
131.0;0.988
131.5;0.948
132.0;0.478
132.5;0.773
133.0;1.296
133.5;1.052
134.0;0.46
134.5;0.803
135.0;1.223
135.5;0.987
136.0;0.415
136.5;0.741
137.0;0.672
137.5;1.062
138.0;0.685
138.5;0.706
139.0;1.274
139.5;2.226
140.0;3.186
140.5;2.499
141.0;2.173
141.5;1.738
142.0;0.629
142.5;0.933
143.0;2.186
143.5;2.248
144.0;2.576
144.5;1.626
145.0;1.477
145.5;1.432
146.0;0.863
146.5;1.402
147.0;0.515
147.5;0.631
148.0;0.618
148.5;2.405
149.0;1.756
149.5;2.544
150.0;3.022
150.5;5.156
151.0;6.726
151.5;6.267
152.0;5.297
152.5;3.586
153.0;1.927
153.5;4.266
154.0;3.911
154.5;1.165
155.0;2.611
155.5;5.616
156.0;6.257
156.5;5.126
157.0;1.888
157.5;3.89
158.0;5.308
158.5;5.278
159.0;3.066
159.5;0.976
160.0;3.324
160.5;4.446
161.0;2.309
161.5;2.091
162.0;2.848
162.5;5.945
163.0;6.918
163.5;4.129
164.0;0.955
164.5;2.749
165.0;4.853
165.5;3.527
166.0;2.487
166.5;8.111
167.0;13.633
167.5;13.119
168.0;9.242
168.5;3.164
169.0;9.308
169.5;8.671
170.0;4.191
170.5;5.429
171.0;9.407
171.5;9.551
172.0;4.048
172.5;2.122
173.0;3.985
173.5;2.986
174.0;2.096
174.5;3.856
175.0;7.336
175.5;13.49
176.0;12.198
176.5;10.029
177.0;6.975
177.5;12.124
178.0;9.556
178.5;5.787
179.0;2.566
179.5;4.906
180.0;8.126
180.5;9.769
181.0;4.783
181.5;17.842
182.0;19.914
182.5;14.165
183.0;0.641
183.5;3.823
184.0;8.611
184.5;25.536
185.0;34.08
185.5;33.917
186.0;41.146
186.5;38.418
187.0;28.117
187.5;8.694
188.0;5.431
188.5;14.996
189.0;29.541
189.5;43.729
190.0;20.781
190.5;34.067
191.0;43.85
191.5;22.609
192.0;1.302
192.5;19.648
193.0;5.586
193.5;45.635
194.0;21.372
194.5;14.723
195.0;17.949
195.5;33.515
196.0;8.232
196.5;10.188
197.0;9.222
197.5;4.871
198.0;10.426
198.5;13.906
199.0;9.132
199.5;16.904
200.0;20.118
200.5;22.267
201.0;7.937
201.5;50.009
202.0;37.532
202.5;97.913
203.0;57.394
203.5;38.635
204.0;40.704
204.5;54.32
205.0;51.051
205.5;37.494
206.0;24.115
206.5;11.706
207.0;20.7
207.5;33.295
208.0;44.287
208.5;40.853
209.0;21.294
209.5;28.857
210.0;40.349
210.5;41.728
211.0;55.238
211.5;50.93
212.0;63.782
212.5;29.766
213.0;45.75
213.5;39.49
214.0;35.803
214.5;20.087
215.0;13.184
215.5;6.195
216.0;7.083
216.5;16.07
217.0;32.287
217.5;34.468
218.0;20.152
218.5;15.195
219.0;24.125
219.5;23.315
220.0;45.033
220.5;39.511
221.0;51.43
221.5;20.984
222.0;55.852
222.5;75.227
223.0;64.992
223.5;56.153
224.0;12.218
224.5;204.239
225.0;49.381
225.5;83.043
226.0;84.171
226.5;104.067
227.0;48.397
227.5;20.511
228.0;39.099
228.5;11.203
229.0;28.932
229.5;19.958
230.0;23.447
230.5;43.081
231.0;5.824
231.5;29.985
232.0;39.646
232.5;102.433
233.0;43.456
233.5;77.483
234.0;58.249
234.5;37.464
235.0;66.881
235.5;5.827
236.0;53.125
236.5;40.046
237.0;32.068
237.5;44.922
238.0;10.53
238.5;32.475
239.0;39.282
239.5;15.531
240.0;68.906
240.5;12.582
241.0;101.178
241.5;67.679
242.0;73.041
242.5;97.284
243.0;50.354
243.5;68.402
244.0;56.053
244.5;18.808
245.0;103.206
245.5;62.731
246.0;85.617
246.5;66.89
247.0;34.783
247.5;41.988
248.0;19.748
248.5;21.943
249.0;5.548
249.5;12.076
250.0;6.244
250.5;4.801
251.0;6.965
251.5;18.901
252.0;17.344
252.5;14.812
253.0;4.052
253.5;22.035
254.0;22.122
254.5;34.476
255.0;13.895
255.5;13.705
256.0;22.862
256.5;16.18
257.0;24.829
257.5;3.065
258.0;7.257
258.5;35.055
259.0;28.55
259.5;8.688
260.0;11.986
260.5;12.647
261.0;22.043
261.5;17.247
262.0;17.388
262.5;43.858
263.0;75.889
263.5;106.408
264.0;102.68
264.5;114.746
265.0;226.738
265.5;249.856
266.0;273.09
266.5;174.827
267.0;118.769
267.5;179.219
268.0;205.345
268.5;180.89
269.0;166.396
269.5;124.757
270.0;60.246
270.5;38.602
271.0;23.068
271.5;13.613
272.0;24.627
272.5;22.3
273.0;27.943
273.5;28.204
274.0;31.638
274.5;32.371
275.0;34.168
275.5;23.01
276.0;3.707
276.5;15.894
277.0;9.94
277.5;19.84
278.0;19.476
278.5;31.744
279.0;41.93
279.5;36.478
280.0;22.639
280.5;32.578
281.0;26.548
281.5;7.684
282.0;5.977
282.5;6.765
283.0;9.447
283.5;12.817
284.0;11.819
284.5;7.942
285.0;6.688
285.5;10.446
286.0;12.111
286.5;19.409
287.0;41.037
287.5;22.108
288.0;3.684
288.5;6.028
289.0;12.469
289.5;8.707
290.0;6.503
290.5;4.328
291.0;11.66
291.5;11.582
292.0;11.861
292.5;14.987
293.0;14.674
293.5;12.669
294.0;13.544
294.5;23.735
295.0;21.213
295.5;9.243
296.0;4.31
296.5;3.959
297.0;9.19
297.5;12.476
298.0;8.022
298.5;14.594
299.0;19.746
299.5;16.907
300.0;23.778
300.5;18.272
301.0;13.191
301.5;3.131
302.0;11.289
302.5;21.989
303.0;50.046
303.5;32.282
304.0;32.639
304.5;45.593
305.0;43.081
305.5;25.531
306.0;60.172
306.5;122.159
307.0;148.688
307.5;102.211
308.0;70.673
308.5;135.812
309.0;85.374
309.5;62.011
310.0;22.178
310.5;67.412
311.0;132.624
311.5;128.755
312.0;69.616
312.5;44.002
313.0;89.986
313.5;79.741
314.0;79.8
314.5;15.293
315.0;110.861
315.5;154.724
316.0;188.896
316.5;102.686
317.0;67.822
317.5;137.294
318.0;134.59
318.5;72.784
319.0;37.654
319.5;41.675
320.0;99.035
320.5;98.15
321.0;60.492
321.5;24.677
322.0;44.796
322.5;31.692
323.0;11.57
323.5;31.122
324.0;30.93
324.5;64.325
325.0;84.615
325.5;51.361
326.0;18.622
326.5;8.925
327.0;3.051
327.5;24.327
328.0;29.531
328.5;23.413
329.0;19.376
329.5;7.17
330.0;5.551
330.5;5.134
331.0;6.653
331.5;15.399
332.0;17.368
332.5;11.805
333.0;21.637
333.5;14.379
334.0;4.046
334.5;18.927
335.0;23.658
335.5;30.217
336.0;38.462
336.5;40.268
337.0;24.14
337.5;8.486
338.0;15.009
338.5;37.272
339.0;36.917
339.5;63.318
340.0;73.53
340.5;30.033
341.0;8.362
341.5;18.676
342.0;8.3
342.5;17.465
343.0;28.658
343.5;28.059
344.0;13.79
344.5;12.666
345.0;19.834
345.5;15.591
346.0;20.894
346.5;19.922
347.0;15.872
347.5;12.01
348.0;29.095
348.5;26.32
349.0;16.514
349.5;37.205
350.0;95.705
350.5;95.414
351.0;159.033
351.5;239.591
352.0;219.3
352.5;186.752
353.0;107.105
353.5;86.63
354.0;70.019
354.5;36.809
355.0;33.229
355.5;15.652
356.0;14.592
356.5;23.299
357.0;25.113
357.5;35.211
358.0;50.67
358.5;23.043
359.0;34.201
359.5;38.432
360.0;17.217
360.5;6.242
361.0;9.189
361.5;8.548
362.0;16.272
362.5;30.597
363.0;22.94
363.5;20.804
364.0;7.45
364.5;6.055
365.0;12.045
365.5;3.9
366.0;18.074
366.5;35.306
367.0;38.607
367.5;27.562
368.0;15.534
368.5;4.943
369.0;8.052
369.5;1.466
370.0;10.239
370.5;9.446
371.0;31.223
371.5;57.271
372.0;57.216
372.5;33.184
373.0;15.111
373.5;15.047
374.0;2.317
374.5;11.727
375.0;35.014
375.5;57.631
376.0;53.247
376.5;34.321
377.0;14.134
377.5;7.808
378.0;2.778
378.5;2.969
379.0;6.132
379.5;14.333
380.0;13.162
380.5;12.675
381.0;18.693
381.5;11.647
382.0;8.568
382.5;14.378
383.0;8.221
383.5;21.401
384.0;41.756
384.5;44.576
385.0;56.779
385.5;33.374
386.0;41.616
386.5;26.995
387.0;27.947
387.5;25.42
388.0;37.728
388.5;19.248
389.0;23.903
389.5;14.732
390.0;23.62
390.5;18.119
391.0;23.463
391.5;22.209
392.0;19.107
392.5;20.985
393.0;16.781
393.5;12.509
394.0;7.745
394.5;17.624
395.0;8.782
395.5;33.824
396.0;27.114
396.5;36.283
397.0;21.376
397.5;44.882
398.0;20.28
398.5;43.164
399.0;29.595
399.5;38.28
400.0;56.561
400.5;54.664
401.0;63.398
401.5;47.443
402.0;55.174
402.5;12.981
403.0;30.832
403.5;20.15
404.0;33.023
404.5;21.568
405.0;37.958
405.5;22.702
406.0;27.521
406.5;23.415
407.0;17.562
407.5;13.292
408.0;34.043
408.5;41.109
409.0;6.194
409.5;69.946
410.0;50.917
410.5;30.803
411.0;49.659
411.5;36.891
412.0;13.504
412.5;44.561
413.0;34.699
413.5;12.669
414.0;12.566
414.5;16.565
415.0;8.677
415.5;27.159
416.0;29.869
416.5;10.484
417.0;17.978
417.5;16.869
418.0;11.499
418.5;31.723
419.0;55.11
419.5;38.154
420.0;59.572
420.5;39.292
421.0;16.738
421.5;37.132
422.0;28.179
422.5;8.672
423.0;18.602
423.5;3.258
424.0;6.505
424.5;40.65
425.0;22.325
425.5;4.095
426.0;21.861
426.5;23.093
427.0;3.722
427.5;17.858
428.0;9.739
428.5;9.963
429.0;16.43
429.5;16.594
430.0;14.924
430.5;15.855
431.0;4.555
431.5;14.791
432.0;12.67
432.5;8.923
433.0;5.224
433.5;16.483
434.0;10.192
434.5;3.864
435.0;13.463
435.5;4.425
436.0;6.929
436.5;12.596
437.0;7.616
437.5;10.409
438.0;7.469
438.5;4.408
439.0;8.716
439.5;3.611
440.0;1.604
440.5;10.975
441.0;5.105
441.5;12.655
442.0;17.516
442.5;10.139
443.0;17.51
443.5;18.223
444.0;19.59
444.5;26.992
445.0;9.606
445.5;17.291
446.0;21.684
446.5;4.462
447.0;13.492
447.5;9.147
448.0;10.626
448.5;30.906
449.0;10.64
449.5;9.807
450.0;12.351
450.5;8.491
451.0;11.76
451.5;9.346
452.0;6.792
452.5;8.803
453.0;4.847
453.5;7.759
454.0;1.241
454.5;5.642
455.0;9.215
455.5;2.379
456.0;10.223
456.5;7.69
457.0;10.903
457.5;9.02
458.0;14.234
458.5;9.451
459.0;4.605
459.5;11.61
460.0;7.337
460.5;3.936
461.0;7.657
461.5;7.048
462.0;17.106
462.5;13.274
463.0;29.518
463.5;23.833
464.0;31.243
464.5;45.322
465.0;2.861
465.5;16.399
466.0;12.942
466.5;41.953
467.0;35.439
467.5;18.571
468.0;29.767
468.5;27.287
469.0;24.582
469.5;23.307
470.0;49.112
