Frequence;Amplitude
0.0;3.029
0.5;5.244
1.0;1.919
1.5;4.664
2.0;3.119
2.5;4.041
3.0;2.646
3.5;0.396
4.0;1.925
4.5;2.501
5.0;4.471
5.5;4.117
6.0;0.89
6.5;2.226
7.0;5.755
7.5;4.416
8.0;1.276
8.5;1.358
9.0;4.317
9.5;3.721
10.0;0.714
10.5;1.232
11.0;6.183
11.5;5.689
12.0;2.669
12.5;7.253
13.0;7.767
13.5;3.683
14.0;4.048
14.5;0.761
15.0;2.253
15.5;1.41
16.0;3.313
16.5;3.294
17.0;9.31
17.5;5.294
18.0;2.382
18.5;4.335
19.0;10.582
19.5;3.149
20.0;1.26
20.5;1.772
21.0;4.67
21.5;2.478
22.0;3.19
22.5;2.409
23.0;5.367
23.5;3.597
24.0;4.387
24.5;4.744
25.0;5.096
25.5;2.663
26.0;3.3
26.5;3.614
27.0;2.933
27.5;4.651
28.0;2.611
28.5;5.372
29.0;5.704
29.5;2.319
30.0;3.885
30.5;4.035
31.0;6.634
31.5;6.037
32.0;1.775
32.5;1.158
33.0;4.401
33.5;3.763
34.0;3.221
34.5;3.369
35.0;6.539
35.5;2.006
36.0;3.53
36.5;4.862
37.0;7.639
37.5;2.612
38.0;1.046
38.5;2.698
39.0;4.358
39.5;4.179
40.0;1.061
40.5;2.032
41.0;1.128
41.5;5.892
42.0;1.495
42.5;5.788
43.0;5.095
43.5;5.062
44.0;3.081
44.5;4.957
45.0;4.707
45.5;4.417
46.0;1.874
46.5;5.69
47.0;2.079
47.5;3.29
48.0;3.199
48.5;6.163
49.0;8.293
49.5;3.266
50.0;4.385
50.5;3.832
51.0;3.664
51.5;5.699
52.0;4.202
52.5;3.154
53.0;2.743
53.5;4.56
54.0;3.287
54.5;5.715
55.0;4.6
55.5;4.313
56.0;1.136
56.5;5.154
57.0;2.996
57.5;0.964
58.0;3.42
58.5;7.548
59.0;4.18
59.5;0.662
60.0;0.844
60.5;4.459
61.0;4.876
61.5;0.586
62.0;4.816
62.5;5.496
63.0;5.531
63.5;3.335
64.0;5.589
64.5;3.173
65.0;0.949
65.5;1.208
66.0;2.498
66.5;5.984
67.0;5.636
67.5;2.601
68.0;5.614
68.5;5.897
69.0;5.106
69.5;3.593
70.0;5.381
70.5;5.905
71.0;2.278
71.5;2.17
72.0;1.953
72.5;5.192
73.0;4.352
73.5;2.684
74.0;3.492
74.5;4.007
75.0;3.935
75.5;2.275
76.0;6.879
76.5;5.278
77.0;3.645
77.5;0.917
78.0;6.865
78.5;7.022
79.0;6.131
79.5;2.275
80.0;6.371
80.5;4.188
81.0;3.852
81.5;2.838
82.0;8.767
82.5;5.371
83.0;2.261
83.5;4.519
84.0;4.671
84.5;8.246
85.0;2.755
85.5;6.711
86.0;6.713
86.5;5.302
87.0;2.237
87.5;7.212
88.0;9.154
88.5;4.648
89.0;0.237
89.5;4.946
90.0;5.08
90.5;4.535
91.0;3.488
91.5;7.189
92.0;9.198
92.5;1.383
93.0;1.945
93.5;4.204
94.0;6.458
94.5;3.626
95.0;0.908
95.5;3.455
96.0;6.418
96.5;4.165
97.0;4.531
97.5;8.031
98.0;6.376
98.5;1.4
99.0;4.911
99.5;6.458
100.0;3.78
100.5;2.592
101.0;4.136
101.5;7.078
102.0;3.246
102.5;1.792
103.0;4.525
103.5;6.95
104.0;1.799
104.5;3.77
105.0;4.388
105.5;4.518
106.0;3.589
106.5;3.032
107.0;4.328
107.5;4.799
108.0;3.333
108.5;3.267
109.0;5.022
109.5;5.438
110.0;4.73
110.5;4.059
111.0;8.16
111.5;6.076
112.0;5.397
112.5;4.322
113.0;10.536
113.5;10.618
114.0;7.777
114.5;11.238
115.0;15.879
115.5;15.015
116.0;9.732
116.5;14.345
117.0;19.729
117.5;17.439
118.0;14.364
118.5;22.185
119.0;22.738
119.5;19.748
120.0;13.695
120.5;23.527
121.0;22.754
121.5;18.544
122.0;14.874
122.5;23.807
123.0;19.761
123.5;11.818
124.0;7.194
124.5;17.967
125.0;15.799
125.5;8.994
126.0;5.821
126.5;13.846
127.0;14.477
127.5;8.751
128.0;7.102
128.5;15.697
129.0;17.053
129.5;8.64
130.0;8.817
130.5;15.655
131.0;15.091
131.5;7.855
132.0;8.721
132.5;11.707
133.0;21.215
133.5;18.034
134.0;17.333
134.5;18.477
135.0;27.211
135.5;19.756
136.0;12.9
136.5;19.271
137.0;24.346
137.5;19.038
138.0;12.139
138.5;23.189
139.0;25.196
139.5;20.052
140.0;3.977
140.5;25.436
141.0;21.627
141.5;16.796
142.0;9.135
142.5;33.837
143.0;34.855
143.5;12.977
144.0;8.602
144.5;55.542
145.0;77.781
145.5;42.241
146.0;14.776
146.5;60.944
147.0;86.109
147.5;54.731
148.0;39.141
148.5;11.469
149.0;42.865
149.5;40.397
150.0;48.242
150.5;33.492
151.0;37.414
151.5;11.015
152.0;23.421
152.5;22.407
153.0;38.994
153.5;26.378
154.0;29.535
154.5;47.133
155.0;32.964
155.5;34.36
156.0;34.931
156.5;95.75
157.0;30.331
157.5;71.213
158.0;58.499
158.5;117.302
159.0;21.914
159.5;76.195
160.0;98.983
160.5;162.06
161.0;24.315
161.5;57.204
162.0;98.04
162.5;87.063
163.0;16.003
163.5;126.828
164.0;187.557
164.5;296.946
165.0;419.901
165.5;363.308
166.0;287.165
166.5;38.056
167.0;111.409
167.5;167.985
168.0;156.788
168.5;73.493
169.0;63.903
169.5;138.234
170.0;70.938
170.5;67.58
171.0;28.023
171.5;114.442
172.0;13.373
172.5;123.021
173.0;85.926
173.5;110.735
174.0;43.367
174.5;99.195
175.0;99.967
175.5;71.666
176.0;87.388
176.5;79.251
177.0;104.598
177.5;49.904
178.0;87.021
178.5;61.862
179.0;96.823
179.5;18.094
180.0;88.891
180.5;54.62
181.0;56.704
181.5;24.018
182.0;55.476
182.5;54.813
183.0;63.049
183.5;52.901
184.0;64.084
184.5;101.496
185.0;48.728
185.5;114.764
186.0;106.007
186.5;167.526
187.0;37.371
187.5;172.141
188.0;136.387
188.5;220.166
189.0;62.236
