Frequence;Amplitude
0.0;0.019
0.5;0.871
1.0;1.481
1.5;0.846
2.0;1.315
2.5;1.773
3.0;0.557
3.5;1.466
4.0;0.817
4.5;1.015
5.0;0.511
5.5;1.341
6.0;1.183
6.5;1.709
7.0;2.475
7.5;2.632
8.0;0.133
8.5;0.954
9.0;0.288
9.5;0.778
10.0;0.622
10.5;1.197
11.0;1.457
11.5;0.521
12.0;0.943
12.5;0.963
13.0;1.394
13.5;0.391
14.0;0.681
14.5;0.661
15.0;0.874
15.5;0.657
16.0;0.934
16.5;1.819
17.0;0.026
17.5;1.673
18.0;1.377
18.5;1.098
19.0;0.978
19.5;1.443
20.0;1.63
20.5;0.801
21.0;0.224
21.5;0.363
22.0;0.931
22.5;0.799
23.0;1.006
23.5;1.56
24.0;1.306
24.5;0.733
25.0;1.491
25.5;0.893
26.0;1.697
26.5;1.633
27.0;1.039
27.5;2.031
28.0;1.781
28.5;1.195
29.0;1.132
29.5;2.29
30.0;0.855
30.5;0.861
31.0;0.359
31.5;0.762
32.0;1.147
32.5;0.19
33.0;1.238
33.5;0.319
34.0;0.807
34.5;1.073
35.0;0.565
35.5;0.728
36.0;0.398
36.5;0.621
37.0;1.775
37.5;1.382
38.0;0.673
38.5;1.018
39.0;1.655
39.5;1.714
40.0;0.552
40.5;0.944
41.0;1.214
41.5;1.352
42.0;1.011
42.5;0.135
43.0;1.476
43.5;1.234
44.0;0.137
44.5;1.02
45.0;0.741
45.5;0.473
46.0;1.246
46.5;1.885
47.0;0.711
47.5;0.236
48.0;0.859
48.5;1.278
49.0;1.108
49.5;0.278
50.0;0.49
50.5;0.878
51.0;1.16
51.5;0.204
52.0;0.707
52.5;0.634
53.0;0.445
53.5;1.607
54.0;1.502
54.5;0.995
55.0;0.254
55.5;0.743
56.0;0.437
56.5;1.086
57.0;1.261
57.5;0.27
58.0;1.119
58.5;2.639
59.0;8.621
59.5;5.284
60.0;1.683
60.5;1.001
61.0;1.443
61.5;1.164
62.0;1.346
62.5;0.547
63.0;1.408
63.5;1.446
64.0;1.289
64.5;0.492
65.0;1.495
65.5;1.782
66.0;1.504
66.5;0.253
67.0;0.99
67.5;1.488
68.0;0.681
68.5;0.625
69.0;0.562
69.5;0.331
70.0;0.764
70.5;1.208
71.0;0.641
71.5;0.542
72.0;0.301
72.5;0.635
73.0;0.452
73.5;1.042
74.0;1.204
74.5;1.801
75.0;1.555
75.5;1.225
76.0;0.962
76.5;1.532
77.0;0.683
77.5;0.429
78.0;0.341
78.5;0.392
79.0;0.309
79.5;0.452
80.0;0.492
80.5;0.294
81.0;0.445
81.5;0.682
82.0;1.082
82.5;2.08
83.0;1.406
83.5;1.364
84.0;0.825
84.5;1.138
85.0;1.507
85.5;1.638
86.0;0.343
86.5;0.715
87.0;1.292
87.5;1.057
88.0;0.249
88.5;0.914
89.0;0.613
89.5;0.592
90.0;0.765
90.5;1.126
91.0;0.329
91.5;1.652
92.0;0.876
92.5;0.252
93.0;0.672
93.5;0.385
94.0;1.056
94.5;0.559
95.0;0.85
95.5;1.101
96.0;0.788
96.5;0.859
97.0;0.523
97.5;0.667
98.0;0.379
98.5;0.396
99.0;0.995
99.5;0.756
100.0;1.702
100.5;1.087
101.0;1.273
101.5;1.549
102.0;1.663
102.5;1.023
103.0;0.798
103.5;1.777
104.0;1.311
104.5;0.292
105.0;1.006
105.5;0.734
106.0;0.417
106.5;0.538
107.0;1.42
107.5;1.108
108.0;0.358
108.5;1.328
109.0;1.945
109.5;1.305
110.0;2.511
110.5;0.658
111.0;1.161
111.5;1.88
112.0;1.095
112.5;0.652
113.0;2.1
113.5;1.116
114.0;0.764
114.5;0.605
115.0;0.441
115.5;0.55
116.0;1.4
116.5;0.636
117.0;1.988
117.5;1.664
118.0;1.647
118.5;3.06
119.0;2.492
119.5;1.874
120.0;1.352
120.5;2.776
121.0;3.255
121.5;1.655
122.0;1.964
122.5;2.666
123.0;2.189
123.5;0.894
124.0;2.055
124.5;2.13
125.0;1.303
125.5;0.871
126.0;3.061
126.5;2.467
127.0;1.774
127.5;2.034
128.0;3.294
128.5;3.237
129.0;2.596
129.5;1.887
130.0;2.848
130.5;2.524
131.0;0.832
131.5;0.155
132.0;1.724
132.5;1.687
133.0;1.583
133.5;0.684
134.0;1.749
134.5;2.65
135.0;1.591
135.5;2.244
136.0;4.152
136.5;4.846
137.0;4.883
137.5;6.397
138.0;7.631
138.5;6.667
139.0;5.96
139.5;6.944
140.0;6.825
140.5;4.641
141.0;3.49
141.5;4.193
142.0;3.176
142.5;1.539
143.0;1.305
143.5;2.293
144.0;1.24
144.5;1.321
145.0;2.788
145.5;2.413
146.0;1.735
146.5;2.612
147.0;4.277
147.5;4.885
148.0;7.343
148.5;10.398
149.0;11.904
149.5;14.073
150.0;18.046
150.5;22.533
151.0;25.433
151.5;28.623
152.0;33.38
152.5;37.882
153.0;41.28
153.5;44.542
154.0;49.387
154.5;54.128
155.0;56.986
155.5;59.654
156.0;63.961
156.5;68.503
157.0;70.853
157.5;71.664
158.0;72.871
158.5;71.987
159.0;67.705
159.5;61.183
160.0;55.904
160.5;49.516
161.0;41.162
161.5;33.828
162.0;28.759
162.5;24.362
163.0;19.807
163.5;16.767
164.0;17.022
164.5;16.13
165.0;16.119
165.5;18.528
166.0;20.972
166.5;21.774
167.0;22.072
167.5;24.326
168.0;24.447
168.5;21.777
169.0;18.866
169.5;17.339
170.0;16.253
170.5;13.839
171.0;11.102
171.5;10.807
172.0;10.112
172.5;8.205
173.0;7.26
173.5;9.222
174.0;10.206
174.5;9.405
175.0;10.088
175.5;12.795
176.0;14.031
176.5;14.406
177.0;16.354
177.5;19.787
178.0;21.359
178.5;19.407
179.0;19.375
179.5;18.568
180.0;15.41
180.5;12.003
181.0;10.027
181.5;6.556
182.0;1.96
182.5;3.858
183.0;5.141
183.5;9.963
184.0;12.977
184.5;13.168
185.0;16.717
185.5;22.384
186.0;27.346
186.5;33.027
187.0;41.123
187.5;46.194
188.0;48.197
188.5;50.223
189.0;52.322
189.5;51.709
190.0;51.263
190.5;53.353
191.0;55.782
191.5;55.168
192.0;54.874
192.5;57.148
193.0;57.609
193.5;58.706
194.0;64.546
194.5;71.705
195.0;76.022
195.5;79.549
196.0;83.318
196.5;82.143
197.0;77.531
197.5;77.189
198.0;78.124
198.5;76.912
199.0;79.0
199.5;83.542
200.0;85.23
200.5;84.78
201.0;85.028
201.5;82.221
202.0;74.514
202.5;70.174
203.0;65.876
203.5;56.763
204.0;47.839
204.5;41.921
205.0;35.32
205.5;29.572
206.0;30.28
206.5;30.359
207.0;29.525
207.5;31.028
208.0;31.147
208.5;26.261
209.0;19.878
209.5;18.922
210.0;14.197
210.5;12.531
211.0;19.099
211.5;21.977
212.0;22.072
212.5;24.176
213.0;24.744
213.5;17.378
214.0;11.678
214.5;10.201
215.0;6.351
215.5;3.273
216.0;9.083
216.5;11.355
217.0;10.729
217.5;13.887
218.0;15.199
218.5;11.464
219.0;7.726
219.5;9.192
220.0;6.814
220.5;1.452
