Frequence;Amplitude
0.0;2.48
0.5;2.551
1.0;1.972
1.5;2.054
2.0;1.875
2.5;1.604
3.0;2.585
3.5;1.157
4.0;2.129
4.5;1.486
5.0;7.638
5.5;5.227
6.0;1.573
6.5;2.322
7.0;2.855
7.5;1.714
8.0;2.65
8.5;1.753
9.0;2.084
9.5;1.914
10.0;2.413
10.5;3.071
11.0;2.581
11.5;1.952
12.0;2.302
12.5;1.377
13.0;1.946
13.5;2.451
14.0;2.258
14.5;1.928
15.0;1.732
15.5;3.063
16.0;3.147
16.5;2.379
17.0;2.36
17.5;1.805
18.0;1.704
18.5;2.088
19.0;1.582
19.5;2.272
20.0;2.112
20.5;2.571
21.0;1.964
21.5;3.322
22.0;1.848
22.5;2.744
23.0;1.471
23.5;1.168
24.0;0.786
24.5;1.489
25.0;1.734
25.5;1.688
26.0;0.475
26.5;1.94
27.0;1.855
27.5;2.095
28.0;2.027
28.5;1.548
29.0;2.371
29.5;1.568
30.0;2.497
30.5;1.816
31.0;1.723
31.5;1.481
32.0;3.371
32.5;1.926
33.0;2.329
33.5;2.244
34.0;2.946
34.5;2.02
35.0;1.969
35.5;2.593
36.0;1.893
36.5;1.223
37.0;1.862
37.5;1.842
38.0;1.836
38.5;2.397
39.0;2.516
39.5;2.143
40.0;2.052
40.5;2.465
41.0;2.289
41.5;2.58
42.0;2.609
42.5;2.001
43.0;2.203
43.5;2.43
44.0;2.356
44.5;1.779
45.0;2.026
45.5;2.19
46.0;1.898
46.5;2.077
47.0;2.02
47.5;2.57
48.0;2.037
48.5;2.463
49.0;2.352
49.5;1.65
50.0;2.294
50.5;2.68
51.0;2.339
51.5;2.247
52.0;2.207
52.5;2.47
53.0;2.74
53.5;1.863
54.0;2.316
54.5;1.858
55.0;2.541
55.5;2.14
56.0;1.99
56.5;1.888
57.0;2.163
57.5;2.25
58.0;2.006
58.5;2.462
59.0;2.516
59.5;2.148
60.0;2.315
60.5;2.348
61.0;2.449
61.5;2.355
62.0;2.018
62.5;2.452
63.0;2.093
63.5;2.034
64.0;2.456
64.5;2.496
65.0;2.263
65.5;2.305
66.0;2.368
66.5;2.321
67.0;2.536
67.5;2.508
68.0;2.459
68.5;2.472
69.0;2.098
69.5;2.355
70.0;2.468
70.5;1.882
71.0;2.159
71.5;2.269
72.0;2.365
72.5;2.396
73.0;2.161
73.5;2.325
74.0;2.771
74.5;2.089
75.0;2.276
75.5;2.127
76.0;2.212
76.5;2.234
77.0;2.299
77.5;2.038
78.0;2.285
78.5;2.362
79.0;2.04
79.5;2.432
80.0;2.384
80.5;2.25
81.0;2.556
81.5;2.313
82.0;2.114
82.5;2.089
83.0;1.971
83.5;2.039
84.0;2.1
84.5;1.921
85.0;2.111
85.5;2.118
86.0;2.374
86.5;2.159
87.0;2.497
87.5;2.379
88.0;2.153
88.5;2.169
89.0;2.334
89.5;2.135
90.0;2.601
90.5;2.381
91.0;2.135
91.5;2.13
92.0;2.263
92.5;2.412
93.0;2.275
93.5;2.344
94.0;2.198
94.5;2.343
95.0;1.998
95.5;2.426
96.0;2.153
96.5;2.263
97.0;2.128
97.5;2.082
98.0;2.249
98.5;2.613
99.0;2.385
99.5;2.607
100.0;2.895
100.5;2.599
101.0;2.169
101.5;2.635
102.0;2.325
102.5;2.417
103.0;2.422
103.5;2.439
104.0;2.282
104.5;2.133
105.0;2.433
105.5;2.312
106.0;1.781
106.5;2.298
107.0;2.296
107.5;2.488
108.0;2.375
108.5;2.191
109.0;2.466
109.5;2.335
110.0;2.291
110.5;2.174
111.0;2.692
111.5;2.305
112.0;2.442
112.5;2.431
113.0;2.366
113.5;2.481
114.0;2.247
114.5;2.51
115.0;2.451
115.5;2.414
116.0;2.101
116.5;2.22
117.0;2.319
117.5;2.265
118.0;2.278
118.5;2.328
119.0;2.459
119.5;2.515
120.0;2.587
120.5;2.684
121.0;2.495
121.5;3.315
122.0;2.496
122.5;2.354
123.0;2.244
123.5;2.213
124.0;2.251
124.5;2.42
125.0;2.175
125.5;2.335
126.0;2.228
126.5;2.75
127.0;2.508
127.5;2.651
128.0;2.792
128.5;2.538
129.0;2.592
129.5;2.351
130.0;2.41
130.5;2.22
131.0;2.515
131.5;1.875
132.0;2.971
132.5;2.62
133.0;2.303
133.5;2.472
134.0;2.283
134.5;2.464
135.0;2.73
135.5;3.007
136.0;2.779
136.5;2.741
137.0;3.099
137.5;2.612
138.0;2.198
138.5;2.064
139.0;1.98
139.5;2.066
140.0;2.388
140.5;2.295
141.0;2.3
141.5;2.567
142.0;2.83
142.5;2.906
143.0;2.333
143.5;2.614
144.0;2.56
144.5;2.34
145.0;2.516
145.5;2.39
146.0;2.502
146.5;2.387
147.0;2.28
147.5;2.209
148.0;2.437
148.5;2.197
149.0;2.319
149.5;2.331
150.0;2.554
150.5;2.609
151.0;2.781
151.5;2.834
152.0;2.447
152.5;2.201
153.0;2.267
153.5;3.278
154.0;2.521
154.5;2.87
155.0;2.665
155.5;2.659
156.0;2.307
156.5;2.589
157.0;2.72
157.5;2.949
158.0;2.42
158.5;3.25
159.0;3.001
159.5;2.768
160.0;2.809
160.5;2.62
161.0;2.452
161.5;2.588
162.0;2.962
162.5;2.891
163.0;2.472
163.5;3.224
164.0;2.769
164.5;2.394
165.0;2.535
165.5;2.625
166.0;2.834
166.5;2.689
167.0;3.065
167.5;2.983
168.0;2.841
168.5;3.406
169.0;2.648
169.5;2.475
170.0;2.433
170.5;2.522
171.0;1.807
171.5;1.976
172.0;2.882
172.5;2.664
173.0;2.545
173.5;3.225
174.0;2.568
174.5;2.574
175.0;3.526
175.5;3.447
176.0;3.078
176.5;3.163
177.0;3.389
177.5;2.904
178.0;2.477
178.5;3.373
179.0;2.631
179.5;2.759
180.0;3.199
180.5;1.938
181.0;2.496
181.5;3.122
182.0;3.2
182.5;2.45
183.0;3.06
183.5;3.069
184.0;2.663
184.5;2.889
185.0;3.917
185.5;2.267
186.0;3.179
186.5;3.519
187.0;2.146
187.5;3.207
188.0;4.038
188.5;2.7
189.0;3.131
189.5;4.374
190.0;3.671
190.5;1.522
191.0;3.571
191.5;3.135
192.0;1.29
192.5;3.18
193.0;3.724
193.5;1.999
194.0;2.592
194.5;3.6
195.0;2.605
195.5;2.398
196.0;3.313
196.5;3.235
197.0;2.699
197.5;3.851
198.0;3.452
198.5;2.632
199.0;3.278
199.5;2.761
200.0;2.328
200.5;2.488
201.0;3.076
201.5;2.896
202.0;3.674
202.5;3.522
203.0;2.516
203.5;3.756
204.0;3.249
204.5;2.66
205.0;3.224
205.5;3.773
206.0;3.076
206.5;3.922
207.0;3.082
207.5;3.372
208.0;2.766
208.5;3.741
209.0;3.5
209.5;2.643
210.0;3.435
210.5;3.378
211.0;3.38
211.5;3.564
212.0;3.588
212.5;3.391
213.0;3.169
213.5;3.86
214.0;3.474
214.5;3.428
215.0;3.5
215.5;3.722
216.0;3.46
216.5;3.95
217.0;3.264
217.5;3.572
218.0;3.023
218.5;2.688
219.0;2.874
219.5;3.4
220.0;3.506
220.5;3.877
221.0;3.304
221.5;4.054
222.0;3.44
222.5;3.699
223.0;3.419
223.5;3.199
224.0;3.27
224.5;3.077
225.0;2.941
225.5;3.171
226.0;2.883
226.5;3.492
227.0;3.381
227.5;2.961
228.0;3.928
228.5;3.838
229.0;4.174
229.5;3.956
230.0;3.694
230.5;3.723
231.0;3.731
231.5;3.496
232.0;2.977
232.5;2.928
233.0;3.84
233.5;3.031
234.0;3.423
234.5;3.541
235.0;3.992
235.5;3.946
236.0;4.764
236.5;4.081
237.0;4.091
237.5;3.984
238.0;4.396
238.5;4.743
239.0;4.199
239.5;3.995
240.0;3.508
240.5;3.682
241.0;4.244
241.5;3.642
242.0;3.362
242.5;3.663
243.0;3.227
243.5;3.969
244.0;4.067
244.5;3.69
245.0;4.227
245.5;3.666
246.0;4.756
246.5;3.925
247.0;3.775
247.5;4.302
248.0;4.312
248.5;5.335
249.0;4.135
249.5;4.17
250.0;4.18
250.5;4.643
251.0;3.578
251.5;5.165
252.0;3.524
252.5;3.862
253.0;4.634
253.5;3.578
254.0;4.125
254.5;4.93
255.0;5.226
255.5;3.446
256.0;5.022
256.5;3.815
257.0;4.033
257.5;3.719
258.0;4.171
258.5;4.528
259.0;5.159
259.5;4.108
260.0;4.342
260.5;4.484
261.0;4.608
261.5;4.49
262.0;5.283
262.5;4.603
263.0;5.565
263.5;4.672
264.0;5.593
264.5;5.282
265.0;4.279
265.5;4.879
266.0;4.666
266.5;5.232
267.0;5.229
267.5;4.397
268.0;3.686
268.5;4.09
269.0;4.236
269.5;4.364
270.0;5.318
270.5;4.577
271.0;4.875
271.5;5.312
272.0;6.123
272.5;5.755
273.0;6.144
273.5;5.76
274.0;6.584
274.5;5.574
275.0;6.381
275.5;4.088
276.0;4.863
276.5;4.59
277.0;6.358
277.5;5.375
278.0;4.123
278.5;4.588
279.0;4.137
279.5;5.485
280.0;8.313
280.5;7.047
281.0;4.648
281.5;6.228
282.0;6.064
282.5;5.755
283.0;7.456
283.5;6.469
284.0;6.197
284.5;5.195
285.0;4.799
285.5;7.547
286.0;8.074
286.5;6.227
287.0;5.813
287.5;6.349
288.0;6.726
288.5;6.837
289.0;6.898
289.5;6.021
290.0;6.596
290.5;5.513
291.0;5.606
291.5;7.709
292.0;5.247
292.5;7.797
293.0;6.37
293.5;6.332
294.0;9.094
294.5;7.023
295.0;6.272
295.5;7.365
296.0;6.344
296.5;6.379
297.0;7.971
297.5;7.1
298.0;4.015
298.5;6.798
299.0;7.26
299.5;6.183
300.0;7.88
300.5;11.554
301.0;9.17
301.5;6.766
302.0;12.432
302.5;11.249
303.0;9.6
303.5;8.982
304.0;11.545
304.5;5.433
305.0;8.499
305.5;6.227
306.0;7.39
306.5;8.07
307.0;7.707
307.5;5.648
308.0;8.2
308.5;8.916
