Frequence;Amplitude
0.0;1.505
0.5;0.048
1.0;0.828
1.5;1.375
2.0;0.928
2.5;0.373
3.0;1.841
3.5;1.844
4.0;2.63
4.5;2.932
5.0;4.742
5.5;4.258
6.0;1.4
6.5;2.796
7.0;1.094
7.5;2.072
8.0;0.792
8.5;2.291
9.0;1.02
9.5;1.408
10.0;0.773
10.5;0.362
11.0;0.573
11.5;1.037
12.0;0.12
12.5;1.313
13.0;0.632
13.5;1.197
14.0;1.355
14.5;1.982
15.0;1.221
15.5;1.117
16.0;1.624
16.5;1.045
17.0;0.633
17.5;1.422
18.0;2.375
18.5;1.094
19.0;1.79
19.5;0.751
20.0;1.07
20.5;1.742
21.0;0.901
21.5;0.951
22.0;0.617
22.5;1.024
23.0;0.835
23.5;0.299
24.0;1.084
24.5;1.827
25.0;0.733
25.5;1.257
26.0;1.567
26.5;0.74
27.0;1.19
27.5;0.587
28.0;1.23
28.5;0.368
29.0;0.579
29.5;1.554
30.0;1.145
30.5;0.924
31.0;0.11
31.5;0.161
32.0;1.639
32.5;0.414
33.0;0.7
33.5;0.81
34.0;1.183
34.5;0.817
35.0;0.321
35.5;1.549
36.0;1.015
36.5;0.904
37.0;2.025
37.5;3.001
38.0;3.412
38.5;1.628
39.0;2.995
39.5;2.789
40.0;2.466
40.5;1.22
41.0;1.617
41.5;4.431
42.0;4.492
42.5;0.408
43.0;3.471
43.5;4.355
44.0;2.793
44.5;3.267
45.0;5.229
45.5;5.992
46.0;6.522
46.5;6.997
47.0;2.124
47.5;2.53
48.0;3.807
48.5;5.061
49.0;2.748
49.5;1.14
50.0;0.68
50.5;0.423
51.0;0.119
51.5;0.803
52.0;0.201
52.5;0.866
53.0;1.395
53.5;0.349
54.0;0.441
54.5;0.345
55.0;0.107
55.5;0.852
56.0;0.929
56.5;0.562
57.0;0.906
57.5;0.772
58.0;0.459
58.5;0.773
59.0;0.389
59.5;0.64
60.0;2.046
60.5;0.471
61.0;0.517
61.5;0.906
62.0;0.561
62.5;1.282
63.0;0.894
63.5;0.627
64.0;1.189
64.5;1.337
65.0;1.048
65.5;0.382
66.0;0.862
66.5;0.625
67.0;0.447
67.5;0.63
68.0;1.029
68.5;0.813
69.0;1.506
69.5;0.631
70.0;0.324
70.5;0.563
71.0;0.694
71.5;0.429
72.0;0.725
72.5;0.619
73.0;0.605
73.5;1.573
74.0;0.086
74.5;0.572
75.0;0.188
75.5;0.565
76.0;0.609
76.5;0.617
77.0;0.776
77.5;0.766
78.0;0.983
78.5;0.431
79.0;0.568
79.5;0.388
80.0;0.318
80.5;0.675
81.0;1.256
81.5;0.558
82.0;0.568
82.5;1.231
83.0;0.356
83.5;1.214
84.0;1.003
84.5;0.586
85.0;0.868
85.5;0.414
86.0;0.064
86.5;0.858
87.0;0.665
87.5;0.663
88.0;0.99
88.5;0.302
89.0;1.468
89.5;0.248
90.0;0.927
90.5;0.519
91.0;0.441
91.5;0.301
92.0;1.471
92.5;0.594
93.0;2.22
93.5;2.017
94.0;1.983
94.5;2.524
95.0;1.202
95.5;0.739
96.0;1.879
96.5;1.083
97.0;2.311
97.5;1.119
98.0;1.642
98.5;2.483
99.0;0.744
99.5;3.102
100.0;2.772
100.5;1.197
101.0;2.537
101.5;0.629
102.0;1.528
102.5;1.102
103.0;1.584
103.5;0.253
104.0;0.766
104.5;0.808
105.0;0.49
105.5;0.796
106.0;1.391
106.5;0.316
107.0;1.048
107.5;0.904
108.0;0.896
108.5;1.308
109.0;0.168
109.5;0.828
110.0;1.179
110.5;1.342
111.0;0.466
111.5;0.269
112.0;0.615
112.5;0.628
113.0;0.838
113.5;0.693
114.0;1.129
114.5;1.305
115.0;0.962
115.5;1.286
116.0;1.029
116.5;1.622
117.0;0.718
117.5;0.426
118.0;0.653
118.5;0.65
119.0;0.909
119.5;1.227
120.0;1.018
120.5;1.058
121.0;0.577
121.5;0.417
122.0;0.603
122.5;0.345
123.0;0.122
123.5;0.851
124.0;0.9
124.5;1.063
125.0;0.774
125.5;0.443
126.0;1.435
126.5;0.177
127.0;0.986
127.5;0.715
128.0;0.999
128.5;1.216
129.0;1.204
129.5;1.099
130.0;1.113
130.5;0.783
131.0;1.336
131.5;0.696
132.0;1.364
132.5;1.543
133.0;0.257
133.5;1.592
134.0;1.206
134.5;0.634
135.0;1.51
135.5;1.954
136.0;1.215
136.5;3.1
137.0;1.616
137.5;1.103
138.0;1.962
138.5;1.731
139.0;1.12
139.5;0.298
140.0;1.432
140.5;1.115
141.0;2.938
141.5;3.5
142.0;2.586
142.5;3.271
143.0;1.92
143.5;2.081
144.0;2.679
144.5;2.045
145.0;2.58
145.5;0.567
146.0;2.352
146.5;1.976
147.0;0.884
147.5;1.978
148.0;1.897
148.5;2.414
149.0;0.862
149.5;1.89
150.0;0.647
150.5;0.796
151.0;1.282
151.5;0.631
152.0;0.482
152.5;0.659
153.0;0.706
153.5;1.037
154.0;0.641
154.5;0.936
155.0;3.366
155.5;1.311
156.0;0.889
156.5;4.303
157.0;4.029
157.5;0.832
158.0;3.84
158.5;3.419
159.0;8.398
159.5;4.071
160.0;7.953
160.5;6.324
161.0;2.041
161.5;2.088
162.0;8.802
162.5;9.813
163.0;2.72
163.5;11.599
164.0;13.564
164.5;7.49
165.0;21.159
165.5;23.512
166.0;10.548
166.5;19.904
167.0;15.011
167.5;13.878
168.0;16.801
168.5;31.945
169.0;11.233
169.5;21.303
170.0;8.365
170.5;12.823
171.0;14.503
171.5;6.918
172.0;26.544
172.5;22.005
173.0;8.734
173.5;20.425
174.0;44.414
174.5;57.856
175.0;87.27
175.5;111.497
176.0;109.246
176.5;126.126
177.0;98.121
177.5;68.506
178.0;55.825
178.5;35.359
179.0;30.92
179.5;43.978
180.0;21.636
180.5;22.285
181.0;14.481
181.5;19.29
182.0;23.351
182.5;27.831
183.0;39.645
183.5;22.805
184.0;30.551
184.5;17.493
185.0;31.902
185.5;26.045
186.0;24.095
186.5;40.303
187.0;18.324
187.5;17.437
188.0;16.131
188.5;32.166
189.0;22.1
189.5;26.141
190.0;46.983
190.5;40.255
191.0;53.25
191.5;25.997
192.0;31.021
192.5;28.732
193.0;64.321
193.5;60.75
194.0;32.854
194.5;26.414
195.0;7.868
195.5;6.472
196.0;4.758
196.5;2.418
197.0;4.295
197.5;2.134
198.0;14.675
198.5;17.898
199.0;20.597
199.5;17.783
200.0;29.37
200.5;28.75
201.0;20.245
201.5;9.598
202.0;19.307
202.5;11.238
203.0;9.319
203.5;9.352
204.0;11.362
204.5;8.756
205.0;9.656
205.5;10.898
206.0;28.372
206.5;20.386
207.0;36.445
207.5;32.699
208.0;18.939
208.5;36.003
209.0;10.537
209.5;19.221
210.0;17.297
210.5;2.015
211.0;17.775
211.5;27.798
212.0;17.305
212.5;31.81
213.0;22.677
213.5;38.382
214.0;41.866
214.5;2.701
215.0;40.713
215.5;24.569
216.0;13.517
216.5;30.733
217.0;22.275
217.5;22.935
218.0;11.513
218.5;19.043
219.0;25.003
219.5;14.872
220.0;14.384
220.5;23.972
221.0;30.22
221.5;67.744
222.0;93.149
222.5;85.152
223.0;85.127
223.5;127.01
224.0;117.47
224.5;62.32
225.0;115.02
225.5;122.09
226.0;29.209
226.5;64.995
227.0;78.359
227.5;35.338
228.0;35.285
228.5;55.015
229.0;38.065
229.5;68.365
230.0;55.384
230.5;16.079
231.0;36.876
231.5;31.935
232.0;15.443
232.5;3.015
233.0;6.05
233.5;10.112
234.0;7.356
234.5;6.096
235.0;5.012
235.5;11.597
236.0;26.177
236.5;2.126
237.0;9.071
237.5;18.618
238.0;10.84
238.5;5.411
239.0;15.848
239.5;7.008
240.0;26.604
240.5;24.129
241.0;6.685
241.5;14.213
242.0;18.026
242.5;13.063
243.0;9.627
243.5;12.123
244.0;20.808
244.5;19.719
245.0;14.425
