Frequence;Amplitude
0.0;0.199
0.5;0.058
1.0;0.074
1.5;0.08
2.0;0.044
2.5;0.045
3.0;0.148
3.5;0.014
4.0;0.079
4.5;0.098
5.0;0.019
5.5;0.063
6.0;0.205
6.5;0.079
7.0;0.129
7.5;0.107
8.0;0.06
8.5;0.112
9.0;0.096
9.5;0.029
10.0;0.179
10.5;0.085
11.0;0.067
11.5;0.114
12.0;0.087
12.5;0.144
13.0;0.165
13.5;0.236
14.0;0.1
14.5;0.08
15.0;0.085
15.5;0.16
16.0;0.069
16.5;0.042
17.0;0.18
17.5;0.118
18.0;0.061
18.5;0.196
19.0;0.097
19.5;0.226
20.0;0.171
20.5;0.279
21.0;1.133
21.5;0.308
22.0;0.27
22.5;0.897
23.0;0.422
23.5;0.1
24.0;0.781
24.5;0.606
25.0;0.312
25.5;0.154
26.0;0.443
26.5;0.344
27.0;0.169
27.5;0.492
28.0;0.388
28.5;1.253
29.0;0.189
29.5;0.239
30.0;0.274
30.5;0.367
31.0;0.362
31.5;0.152
32.0;0.229
32.5;0.382
33.0;0.171
33.5;0.268
34.0;0.293
34.5;0.379
35.0;0.175
35.5;0.513
36.0;0.203
36.5;0.24
37.0;0.102
37.5;0.115
38.0;0.285
38.5;0.122
39.0;0.3
39.5;0.46
40.0;0.375
40.5;0.56
41.0;0.496
41.5;0.142
42.0;0.688
42.5;0.193
43.0;0.255
43.5;0.425
44.0;0.311
44.5;0.41
45.0;0.263
45.5;0.444
46.0;0.511
46.5;0.097
47.0;0.677
47.5;1.17
48.0;4.657
48.5;2.559
49.0;2.485
49.5;0.952
50.0;0.95
50.5;4.387
51.0;2.768
51.5;1.488
52.0;1.236
52.5;0.883
53.0;0.704
53.5;0.467
54.0;0.561
54.5;0.797
55.0;0.924
55.5;1.428
56.0;1.232
56.5;1.833
57.0;3.118
57.5;7.257
58.0;9.788
58.5;3.091
59.0;1.903
59.5;1.173
60.0;0.876
60.5;0.775
61.0;0.674
61.5;1.028
62.0;0.689
62.5;0.281
63.0;0.816
63.5;0.295
64.0;0.82
64.5;0.937
65.0;0.199
65.5;0.689
66.0;0.41
66.5;0.303
67.0;0.093
67.5;0.282
68.0;0.262
68.5;0.148
69.0;0.495
69.5;0.272
70.0;0.031
70.5;0.142
71.0;0.204
71.5;0.095
72.0;0.169
72.5;0.654
73.0;0.411
73.5;1.291
74.0;0.515
74.5;0.091
75.0;0.417
75.5;0.536
76.0;0.695
76.5;0.548
77.0;0.313
77.5;1.058
78.0;0.912
78.5;0.343
79.0;0.301
79.5;0.237
80.0;0.105
80.5;0.267
81.0;0.05
81.5;0.235
82.0;0.42
82.5;0.871
83.0;0.598
83.5;0.146
84.0;0.608
84.5;0.278
85.0;0.157
85.5;0.387
86.0;0.372
86.5;0.61
87.0;0.674
87.5;0.203
88.0;0.195
88.5;0.166
89.0;0.402
89.5;0.381
90.0;0.156
90.5;0.516
91.0;0.447
91.5;0.841
92.0;1.459
92.5;0.968
93.0;0.5
93.5;0.99
94.0;0.304
94.5;0.267
95.0;0.263
95.5;0.534
96.0;0.265
96.5;0.31
97.0;0.984
97.5;0.998
98.0;0.966
98.5;0.666
99.0;0.745
99.5;0.813
100.0;0.83
100.5;0.719
101.0;0.5
101.5;0.551
102.0;0.818
102.5;0.903
103.0;0.697
103.5;2.05
104.0;0.313
104.5;0.472
105.0;0.752
105.5;0.61
106.0;0.876
106.5;0.869
107.0;1.012
107.5;0.646
108.0;0.954
108.5;0.861
109.0;1.33
109.5;1.755
110.0;0.849
110.5;0.858
111.0;1.605
111.5;1.471
112.0;1.606
112.5;1.802
113.0;2.183
113.5;2.768
114.0;3.466
114.5;4.564
115.0;6.431
115.5;11.81
116.0;48.412
116.5;67.778
117.0;9.241
117.5;6.022
118.0;4.416
118.5;3.632
119.0;2.762
119.5;2.489
120.0;2.567
120.5;1.905
121.0;1.842
121.5;1.647
122.0;1.727
122.5;1.811
123.0;1.327
123.5;1.073
124.0;0.839
124.5;0.796
125.0;1.129
125.5;1.021
126.0;0.754
126.5;0.873
127.0;0.842
127.5;0.844
128.0;0.839
128.5;0.53
129.0;0.708
129.5;0.802
130.0;0.812
130.5;0.595
131.0;0.644
131.5;0.614
132.0;0.604
132.5;0.507
133.0;0.6
133.5;0.472
134.0;0.552
134.5;0.326
135.0;0.468
135.5;0.654
136.0;0.508
136.5;0.285
137.0;0.525
137.5;0.763
138.0;0.425
138.5;0.732
139.0;0.401
139.5;0.325
140.0;0.291
140.5;0.347
141.0;0.576
141.5;0.432
142.0;0.263
142.5;0.339
143.0;0.385
143.5;0.393
144.0;0.468
144.5;0.477
145.0;0.462
145.5;0.531
146.0;0.628
146.5;0.342
147.0;0.115
147.5;0.307
148.0;0.383
148.5;0.475
149.0;0.459
149.5;0.647
150.0;0.523
150.5;0.472
151.0;0.37
151.5;0.394
152.0;0.484
152.5;0.542
153.0;0.427
153.5;0.403
154.0;0.605
154.5;0.308
155.0;0.136
155.5;0.501
156.0;0.186
156.5;0.565
157.0;0.321
157.5;0.274
158.0;0.319
158.5;0.63
159.0;0.465
159.5;0.368
160.0;0.295
160.5;0.499
161.0;0.297
161.5;0.504
162.0;0.24
162.5;0.571
163.0;0.526
163.5;0.157
164.0;0.229
164.5;0.404
165.0;0.863
165.5;0.649
166.0;0.563
166.5;0.426
167.0;0.474
167.5;0.335
168.0;0.622
168.5;0.601
169.0;0.664
169.5;0.662
170.0;0.511
170.5;0.743
171.0;0.834
171.5;0.994
172.0;1.27
172.5;1.22
173.0;1.666
173.5;3.15
174.0;8.996
174.5;15.301
175.0;3.509
175.5;2.13
176.0;1.608
176.5;1.184
177.0;1.096
177.5;0.898
178.0;0.709
178.5;0.587
179.0;0.457
179.5;0.488
180.0;0.412
180.5;0.252
181.0;0.532
181.5;0.549
182.0;0.491
182.5;0.485
183.0;0.532
183.5;0.344
184.0;0.317
184.5;0.322
185.0;0.107
185.5;0.507
186.0;0.435
186.5;0.392
187.0;0.292
187.5;0.382
188.0;0.505
188.5;0.355
189.0;0.404
189.5;0.287
190.0;0.418
190.5;0.415
191.0;0.369
191.5;0.499
192.0;0.648
192.5;0.74
193.0;0.126
193.5;0.48
194.0;0.404
194.5;0.208
195.0;0.164
195.5;0.443
196.0;0.575
196.5;0.413
197.0;0.375
197.5;0.391
198.0;0.443
198.5;0.401
199.0;0.48
199.5;0.775
200.0;0.361
200.5;0.294
201.0;0.509
201.5;0.529
202.0;0.325
202.5;0.327
203.0;0.422
203.5;0.476
204.0;0.428
204.5;0.435
205.0;0.413
205.5;0.46
206.0;0.141
206.5;0.405
207.0;0.48
207.5;0.341
208.0;0.549
208.5;0.504
209.0;0.345
209.5;0.432
210.0;0.305
210.5;0.43
211.0;0.398
211.5;0.431
212.0;0.374
212.5;0.39
213.0;0.52
213.5;0.586
214.0;0.449
214.5;0.566
215.0;0.598
215.5;0.477
216.0;0.523
216.5;0.662
217.0;0.707
217.5;0.694
218.0;0.751
218.5;0.627
219.0;0.697
219.5;0.705
220.0;1.347
220.5;0.73
221.0;0.889
221.5;0.842
222.0;0.866
222.5;1.018
223.0;0.898
223.5;0.948
224.0;1.06
224.5;0.992
225.0;1.126
225.5;1.033
226.0;1.166
226.5;1.337
227.0;1.426
227.5;1.528
228.0;1.674
228.5;1.687
229.0;2.005
229.5;2.302
230.0;2.673
230.5;3.374
231.0;4.66
231.5;6.446
232.0;10.839
232.5;42.197
233.0;19.06
233.5;8.937
234.0;5.605
234.5;3.825
235.0;3.065
235.5;2.438
236.0;2.113
236.5;1.828
237.0;1.399
237.5;1.326
238.0;1.155
238.5;1.227
239.0;1.015
239.5;0.914
240.0;0.812
240.5;0.846
241.0;0.587
241.5;0.631
242.0;0.518
242.5;0.586
243.0;0.584
243.5;0.431
244.0;0.507
244.5;0.69
245.0;0.371
245.5;0.37
246.0;0.36
246.5;0.367
247.0;0.537
247.5;0.439
248.0;0.267
248.5;0.468
249.0;0.408
249.5;0.473
250.0;0.333
250.5;0.375
251.0;0.324
251.5;0.224
252.0;0.317
252.5;0.137
253.0;0.255
253.5;0.148
254.0;0.045
254.5;0.225
255.0;0.16
255.5;0.031
256.0;0.3
256.5;0.049
257.0;0.332
257.5;0.217
258.0;0.194
258.5;0.15
259.0;0.027
259.5;0.265
260.0;0.128
260.5;0.306
261.0;0.468
261.5;0.644
262.0;0.195
262.5;0.128
263.0;0.11
263.5;0.135
264.0;0.143
264.5;0.176
265.0;0.093
265.5;0.122
266.0;0.187
266.5;0.287
267.0;0.367
267.5;0.32
268.0;0.323
268.5;0.323
269.0;0.372
269.5;0.142
270.0;0.248
270.5;0.27
271.0;0.293
271.5;0.334
272.0;0.401
272.5;0.257
273.0;0.309
273.5;0.335
274.0;0.372
274.5;0.405
275.0;0.234
275.5;0.335
276.0;0.323
276.5;0.36
277.0;0.442
277.5;0.497
278.0;0.44
278.5;0.425
279.0;0.526
279.5;0.463
280.0;0.435
280.5;0.621
281.0;0.638
281.5;0.679
282.0;0.711
282.5;0.869
283.0;0.909
283.5;0.948
284.0;0.908
284.5;1.027
285.0;1.108
285.5;0.987
286.0;1.338
286.5;1.477
287.0;1.735
287.5;2.015
288.0;2.295
288.5;2.773
289.0;3.47
289.5;5.03
290.0;7.842
290.5;15.185
291.0;26.544
291.5;10.645
292.0;6.022
292.5;4.118
293.0;3.356
293.5;2.704
294.0;2.13
294.5;1.921
295.0;1.599
295.5;1.574
296.0;1.355
296.5;1.323
297.0;1.184
297.5;1.117
298.0;0.94
298.5;1.026
299.0;0.846
299.5;0.829
300.0;0.587
300.5;0.608
301.0;0.551
301.5;0.612
302.0;0.67
302.5;0.689
