Frequence;Amplitude
0.0;4.581
0.5;2.269
1.0;3.003
1.5;2.88
2.0;2.045
2.5;1.168
3.0;3.926
3.5;1.476
4.0;2.884
4.5;1.691
5.0;2.117
5.5;2.449
6.0;1.64
6.5;1.11
7.0;2.223
7.5;2.489
8.0;2.506
8.5;2.306
9.0;2.615
9.5;3.275
10.0;2.434
10.5;1.15
11.0;1.159
11.5;1.016
12.0;0.333
12.5;3.436
13.0;2.59
13.5;1.266
14.0;2.585
14.5;3.714
15.0;0.73
15.5;2.075
16.0;0.957
16.5;2.129
17.0;4.032
17.5;3.253
18.0;1.181
18.5;1.37
19.0;2.069
19.5;1.504
20.0;2.817
20.5;0.928
21.0;1.111
21.5;2.322
22.0;3.929
22.5;2.946
23.0;4.269
23.5;2.251
24.0;2.297
24.5;1.258
25.0;0.077
25.5;3.754
26.0;3.711
26.5;2.598
27.0;4.734
27.5;2.431
28.0;3.452
28.5;3.127
29.0;0.981
29.5;1.285
30.0;0.908
30.5;3.083
31.0;5.296
31.5;1.564
32.0;4.234
32.5;4.218
33.0;4.276
33.5;6.335
34.0;6.346
34.5;4.553
35.0;25.287
35.5;11.494
36.0;8.294
36.5;8.285
37.0;4.032
37.5;2.263
38.0;12.91
38.5;0.734
39.0;4.553
39.5;3.522
40.0;8.013
40.5;1.382
41.0;22.013
41.5;9.519
42.0;14.668
42.5;34.967
43.0;11.77
43.5;6.317
44.0;1.012
44.5;2.181
45.0;10.635
45.5;5.671
46.0;5.535
46.5;3.787
47.0;0.931
47.5;8.704
48.0;9.241
48.5;3.741
49.0;4.238
49.5;10.495
50.0;7.814
50.5;5.428
51.0;8.747
51.5;5.023
52.0;9.478
52.5;5.871
53.0;6.775
53.5;10.759
54.0;6.285
54.5;13.972
55.0;6.64
55.5;10.163
56.0;11.391
56.5;10.258
57.0;8.598
57.5;41.703
58.0;17.246
58.5;12.137
59.0;9.758
59.5;14.154
60.0;47.654
60.5;6.481
61.0;17.712
61.5;26.583
62.0;31.063
62.5;10.505
63.0;12.524
63.5;11.356
64.0;11.015
64.5;2.565
65.0;23.329
65.5;1.527
66.0;10.026
66.5;14.253
67.0;26.606
67.5;9.921
68.0;6.07
68.5;9.412
69.0;11.044
69.5;11.181
70.0;3.951
70.5;21.606
71.0;16.496
71.5;0.733
72.0;8.811
72.5;13.646
73.0;28.442
73.5;7.34
74.0;8.404
74.5;15.699
75.0;9.679
75.5;18.663
76.0;10.458
76.5;8.389
77.0;2.681
77.5;14.369
78.0;5.68
78.5;6.283
79.0;10.45
79.5;17.205
80.0;19.989
80.5;14.08
81.0;17.22
81.5;16.851
82.0;22.131
82.5;13.654
83.0;20.053
83.5;20.431
84.0;11.032
84.5;23.804
85.0;32.981
85.5;31.959
86.0;14.236
86.5;29.142
87.0;12.296
87.5;13.513
88.0;10.689
88.5;23.506
89.0;16.47
89.5;29.507
90.0;1.643
90.5;30.964
91.0;9.867
91.5;3.962
92.0;14.827
92.5;22.189
93.0;13.228
93.5;13.378
94.0;16.498
94.5;15.226
95.0;11.529
95.5;9.438
96.0;10.993
96.5;14.785
97.0;17.488
97.5;17.113
98.0;25.754
98.5;11.185
99.0;19.524
99.5;33.133
100.0;21.634
100.5;8.499
101.0;20.124
101.5;19.269
102.0;17.39
102.5;16.105
103.0;29.789
103.5;35.547
104.0;36.235
104.5;27.267
105.0;41.489
105.5;13.896
106.0;17.54
106.5;10.841
107.0;15.547
107.5;19.769
108.0;25.829
108.5;15.395
109.0;9.233
109.5;24.4
110.0;10.204
110.5;18.899
111.0;9.313
111.5;17.319
112.0;8.841
112.5;22.029
113.0;22.693
113.5;23.221
114.0;12.832
114.5;17.153
115.0;12.381
115.5;24.37
116.0;29.814
116.5;9.572
117.0;25.658
117.5;26.765
